Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
zambia,,,,,,,,,Nouvelle eSIM,,,20GB / 15 Days,,,,,TELNA-NEW-ZAMBIA-20GB-15D,0.0,,9999,continue,manual,62.99,,false,false,,,,,,,,,false,,,,kg,,,
zambia,,,,,,,,,Recharge,,,20GB / 15 Days,,,,,TELNA-TOPUP-ZAMBIA-20GB-15D,0.0,,9999,continue,manual,62.99,,false,false,,,,,,,,,false,,,,kg,,,
zambia,,,,,,,,,Nouvelle eSIM,,,20GB / 30 Days,,,,,TELNA-NEW-ZAMBIA-20GB-30D,0.0,,9999,continue,manual,66.99,,false,false,,,,,,,,,false,,,,kg,,,
zambia,,,,,,,,,Recharge,,,20GB / 30 Days,,,,,TELNA-TOPUP-ZAMBIA-20GB-30D,0.0,,9999,continue,manual,66.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,Vietnam,"<p>Travel eSIM data plan for Vietnam.</p>
<p>If you already have a Telna eSIM from us, this purchase will be added as a top-up to your existing eSIM. If this is your first purchase, we will email your QR code after payment.</p>",Quebec eSIM,,eSIM,"eSIM, Telna, Vietnam",false,Type de forfait,Nouvelle eSIM,,Forfait,1GB / 5 Days,,,,,TELNA-NEW-VIETNAM-1GB-5D,0.0,,9999,continue,manual,4.99,,false,false,,,,,,,,,false,,,,kg,,,active
vietnam,,,,,,,false,,Recharge,,,1GB / 5 Days,,,,,TELNA-TOPUP-VIETNAM-1GB-5D,0.0,,9999,continue,manual,4.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,1GB / 10 Days,,,,,TELNA-NEW-VIETNAM-1GB-10D,0.0,,9999,continue,manual,5.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,1GB / 10 Days,,,,,TELNA-TOPUP-VIETNAM-1GB-10D,0.0,,9999,continue,manual,5.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,1GB / 15 Days,,,,,TELNA-NEW-VIETNAM-1GB-15D,0.0,,9999,continue,manual,6.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,1GB / 15 Days,,,,,TELNA-TOPUP-VIETNAM-1GB-15D,0.0,,9999,continue,manual,6.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,1GB / 30 Days,,,,,TELNA-NEW-VIETNAM-1GB-30D,0.0,,9999,continue,manual,8.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,1GB / 30 Days,,,,,TELNA-TOPUP-VIETNAM-1GB-30D,0.0,,9999,continue,manual,8.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,3GB / 5 Days,,,,,TELNA-NEW-VIETNAM-3GB-5D,0.0,,9999,continue,manual,8.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,3GB / 5 Days,,,,,TELNA-TOPUP-VIETNAM-3GB-5D,0.0,,9999,continue,manual,8.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,3GB / 10 Days,,,,,TELNA-NEW-VIETNAM-3GB-10D,0.0,,9999,continue,manual,9.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,3GB / 10 Days,,,,,TELNA-TOPUP-VIETNAM-3GB-10D,0.0,,9999,continue,manual,9.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,3GB / 15 Days,,,,,TELNA-NEW-VIETNAM-3GB-15D,0.0,,9999,continue,manual,9.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,3GB / 15 Days,,,,,TELNA-TOPUP-VIETNAM-3GB-15D,0.0,,9999,continue,manual,9.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,3GB / 30 Days,,,,,TELNA-NEW-VIETNAM-3GB-30D,0.0,,9999,continue,manual,12.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,3GB / 30 Days,,,,,TELNA-TOPUP-VIETNAM-3GB-30D,0.0,,9999,continue,manual,12.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,5GB / 5 Days,,,,,TELNA-NEW-VIETNAM-5GB-5D,0.0,,9999,continue,manual,11.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,5GB / 5 Days,,,,,TELNA-TOPUP-VIETNAM-5GB-5D,0.0,,9999,continue,manual,11.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,5GB / 10 Days,,,,,TELNA-NEW-VIETNAM-5GB-10D,0.0,,9999,continue,manual,12.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,5GB / 10 Days,,,,,TELNA-TOPUP-VIETNAM-5GB-10D,0.0,,9999,continue,manual,12.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,5GB / 15 Days,,,,,TELNA-NEW-VIETNAM-5GB-15D,0.0,,9999,continue,manual,13.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,5GB / 15 Days,,,,,TELNA-TOPUP-VIETNAM-5GB-15D,0.0,,9999,continue,manual,13.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,5GB / 30 Days,,,,,TELNA-NEW-VIETNAM-5GB-30D,0.0,,9999,continue,manual,15.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,5GB / 30 Days,,,,,TELNA-TOPUP-VIETNAM-5GB-30D,0.0,,9999,continue,manual,15.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,10GB / 5 Days,,,,,TELNA-NEW-VIETNAM-10GB-5D,0.0,,9999,continue,manual,21.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Recharge,,,10GB / 5 Days,,,,,TELNA-TOPUP-VIETNAM-10GB-5D,0.0,,9999,continue,manual,21.99,,false,false,,,,,,,,,false,,,,kg,,,
vietnam,,,,,,,,,Nouvelle eSIM,,,10GB / 10 Days,,,,,TELNA-NEW-VIETNAM-10GB-10D,0.0,,9999,continue,manual,22.99,,false,false,,,,,,,,,false,,,,kg,,,
